Price(M),Floor,Area (Saleable),Trans Date,Age,Club,DisMTR(km),DisCBD(km),SchoolZone
330,39,594,27/8/2018,17.67,1,1,13.8,0
880,35,601,25/1/2018,17.67,1,1,13.8,0
1510,28,825,11/4/2018,17.67,1,1,13.8,0
700,25,465,29/8/2018,17.67,1,1,13.8,0
692,23,465,28/12/2018,17.67,1,1,13.8,0
1458,22,811,14/6/2018,17.67,1,1,13.8,0
900,16,594,6/4/2018,17.67,1,1,13.8,0
1455,43,734,7/8/2018,17.67,1,1,13.8,0
1498,39,848,10/1/2018,17.67,1,1,13.8,0
1478,36,811,7/8/2018,17.67,1,1,13.8,0
1645,31,853,25/6/2018,17.67,1,1,13.8,0
775,23,498,5/1/2018,17.67,1,1,13.8,0
1600,22,848,12/7/2018,17.67,1,1,13.8,0
1120,19,653,30/4/2018,17.67,1,1,13.8,0
1510,18,848,14/6/2018,17.67,1,1,13.8,0
1463,17,811,30/4/2018,17.67,1,1,13.8,0
1455,15,811,14/5/2018,17.67,1,1,13.8,0
1150,10,653,11/5/2018,17.67,1,1,13.8,0
750,13,592,21/6/2018,21.75,0,1.8,13.9,0
552,12,592,9/4/2018,21.75,0,1.8,13.9,0
388,5,431,7/8/2018,21.75,0,1.8,13.9,0
470,2,592,24/9/2018,21.75,0,1.8,13.9,0
582,18,592,14/5/2018,21.75,0,1.8,13.9,0
388,3,431,22/11/2018,21.75,0,1.8,13.9,0
130,8,431,21/2/2018,21.75,0,1.8,13.9,0
565,6,592,28/2/2018,21.75,0,1.8,13.9,0
522,11,592,10/1/2018,21.75,0,1.8,13.9,0
563,29,592,19/6/2018,21.75,0,1.8,13.9,0
480,23,484,8/5/2018,21.75,0,1.8,13.9,0
540,21,592,29/8/2018,21.75,0,1.8,13.9,0
405,18,431,25/5/2018,21.75,0,1.8,13.9,0
398,17,431,10/7/2018,21.75,0,1.8,13.9,0
420,15,431,12/12/2018,21.75,0,1.8,13.9,0
455,25,484,13/2/2018,21.75,0,1.8,13.9,0
546,22,592,7/8/2018,21.75,0,1.8,13.9,0
590,7,431,2/2/2018,21.75,0,1.8,13.9,0
530,23,592,10/12/2018,21.75,0,1.8,13.9,0
568,14,592,23/3/2018,21.75,0,1.8,13.9,0
640,30,504,24/8/2018,33.42,0,2,12.8,0
730,25,646,13/4/2018,33.42,0,2,12.8,0
700,22,646,23/2/2018,33.42,0,2,12.8,0
500,19,757,20/3/2018,33.42,0,2,12.8,0
633,12,504,9/10/2018,33.42,0,2,12.8,0
600,27,508,29/6/2018,33.42,0,2,12.8,0
640,27,508,21/6/2018,33.42,0,2,12.8,0
848,23,757,30/5/2018,33.42,0,2,12.8,0
740,13,646,3/5/2018,33.42,0,2,12.8,0
590,10,504,4/9/2018,33.42,0,2,12.8,0
635,9,504,27/8/2018,33.42,0,2,12.8,0
640,6,646,30/1/2018,33.42,0,2,12.8,0
538,1,504,17/5/2018,33.42,0,2,12.8,0
625,26,504,22/3/2018,33.42,0,2,12.8,0
848,11,757,10/9/2018,33.42,0,2,12.8,0
600,8,646,27/9/2018,33.42,0,2,12.8,0
550,30,508,19/10/2018,33.42,0,2,12.8,0
550,29,504,5/2/2018,33.42,0,2,12.8,0
665,28,646,16/3/2018,33.42,0,2,12.8,0
600,23,536,1/2/2018,33.42,0,2,12.8,0
300,13,536,19/6/2018,33.42,0,2,12.8,0
845,5,757,4/6/2018,33.42,0,2,12.8,0
556,1,504,5/6/2018,33.42,0,2,12.8,0
755,30,646,16/3/2018,33.42,0,2,12.8,0
770,20,646,11/7/2018,33.42,0,2,12.8,0
600,17,536,18/4/2018,33.42,0,2,12.8,0
720,4,646,27/7/2018,33.42,0,2,12.8,0
600,20,508,23/4/2018,33.42,0,2,12.8,0
740,17,646,20/12/2018,33.42,0,2,12.8,0
598,17,504,2/8/2018,33.42,0,2,12.8,0
790,15,757,4/4/2018,33.42,0,2,12.8,0
799,3,757,16/4/2018,33.42,0,2,12.8,0
370,19,240,26/4/2018,40.75,0,0.6,12.4,0
416,14,240,26/7/2018,40.75,0,0.6,12.4,0
374,11,240,25/4/2018,40.75,0,0.6,12.4,0
180,8,260,31/7/2018,40.75,0,0.6,12.4,0
360,3,260,3/5/2018,40.75,0,0.6,12.4,0
400,23,240,28/6/2018,40.75,0,0.6,12.4,0
395,22,245,17/8/2018,40.75,0,0.6,12.4,0
410,21,260,10/10/2018,40.75,0,0.6,12.4,0
380,19,240,27/4/2018,40.75,0,0.6,12.4,0
405,18,260,3/8/2018,40.75,0,0.6,12.4,0
419,16,245,21/9/2018,40.75,0,0.6,12.4,0
180,11,245,25/5/2018,40.75,0,0.6,12.4,0
352,5,260,26/2/2018,40.75,0,0.6,12.4,0
426,2,260,28/3/2018,40.75,0,0.6,12.4,0
380,2,245,7/11/2018,40.75,0,0.6,12.4,0
428,19,260,13/7/2018,40.75,0,0.6,12.4,0
370,12,260,11/6/2018,40.75,0,0.6,12.4,0
330,10,260,8/5/2018,40.75,0,0.6,12.4,0
360,8,240,21/9/2018,40.75,0,0.6,12.4,0
398,4,260,13/8/2018,40.75,0,0.6,12.4,0
741,18,592,11/9/2018,25.92,0,0.55,2.6,0
460,5,592,21/5/2018,25.92,0,0.55,2.6,0
405,4,484,9/7/2018,25.92,0,0.55,2.6,0
493,7,592,22/2/2018,25.92,0,0.55,2.6,0
545,7,431,16/10/2018,25.92,0,0.55,2.6,0
440,1,592,11/4/2018,25.92,0,0.55,2.6,0
550,11,431,15/5/2018,25.92,0,0.55,2.6,0
316,1,431,8/6/2018,25.92,0,0.55,2.6,0
410,23,484,19/3/2018,25.92,0,0.55,2.6,0
495,8,587,31/5/2018,25.92,0,0.55,2.6,0
468,8,592,23/2/2018,25.92,0,0.55,2.6,0
460,6,592,9/2/2018,25.92,0,0.55,2.6,0
485,28,587,22/2/2018,25.92,0,0.55,2.6,0
578,27,431,28/9/2018,25.92,0,0.55,2.6,0
328,2,431,14/12/2018,25.92,0,0.55,2.6,0
800,24,591,22/3/2018,25.92,0,0.55,2.6,0
360,22,431,12/10/2018,25.92,0,0.55,2.6,0
365,8,431,13/7/2018,25.92,0,0.55,2.6,0
498,7,592,3/8/2018,25.92,0,0.55,2.6,0
580,25,434,6/6/2018,36.33,0,1.9,12.8,0
618,14,467,19/7/2018,36.33,0,1.9,12.8,0
549,9,414,21/8/2018,36.33,0,1.9,12.8,0
540,5,434,30/8/2018,36.33,0,1.9,12.8,0
568,14,434,27/7/2018,36.33,0,1.9,12.8,0
520,5,408,25/5/2018,36.33,0,1.9,12.8,0
594,19,429,24/7/2018,36.33,0,1.9,12.8,0
475,17,403,16/1/2018,36.33,0,1.9,12.8,0
550,16,403,8/6/2018,36.33,0,1.9,12.8,0
528,12,403,27/6/2018,36.33,0,1.9,12.8,0
600,23,463,18/9/2018,36.33,0,1.9,12.8,0
570,18,446,5/6/2018,36.33,0,1.9,12.8,0
505,16,403,20/4/2018,36.33,0,1.9,12.8,0
600,3,463,17/12/2018,36.33,0,1.9,12.8,0
738,26,580,14/8/2018,30.67,1,0.45,12.2,0
685,23,408,8/10/2018,30.67,1,0.45,12.2,0
400,20,408,10/1/2018,30.67,1,0.45,12.2,0
928,18,589,29/8/2018,30.67,1,0.45,12.2,0
895,13,615,18/4/2018,30.67,1,0.45,12.2,0
793,9,589,26/1/2018,30.67,1,0.45,12.2,0
858,6,615,2/2/2018,30.67,1,0.45,12.2,0
670,4,449,22/2/2018,30.67,1,0.45,12.2,0
780,2,589,27/4/2018,30.67,1,0.45,12.2,0
730,2,615,7/2/2018,30.67,1,0.45,12.2,0
745,1,615,16/5/2018,30.67,1,0.45,12.2,0
1060,23,589,8/8/2018,30.67,1,0.45,12.2,0
732,21,531,2/1/2018,30.67,1,0.45,12.2,0
600,1,533,2/1/2018,30.67,1,0.45,12.2,0
850,23,537,19/9/2018,30.67,1,0.45,12.2,0
718,19,508,26/1/2018,30.67,1,0.45,12.2,0
768,18,508,22/6/2018,30.67,1,0.45,12.2,0
675,15,473,21/5/2018,30.67,1,0.45,12.2,0
678,12,470,12/4/2018,30.67,1,0.45,12.2,0
660,11,470,13/4/2018,30.67,1,0.45,12.2,0
818,5,610,27/2/2018,30.67,1,0.45,12.2,0
733,1,622,11/1/2018,30.67,1,0.45,12.2,0
599,31,454,2/5/2018,30.67,1,0.45,12.2,0
640,18,470,9/4/2018,30.67,1,0.45,12.2,0
730,16,470,29/8/2018,30.67,1,0.45,12.2,0
750,13,534,27/4/2018,30.67,1,0.45,12.2,0
716,11,470,27/6/2018,30.67,1,0.45,12.2,0
600,10,470,29/6/2018,30.67,1,0.45,12.2,0
570,10,454,19/4/2018,30.67,1,0.45,12.2,0
445,30,579,19/1/2018,23.58,0,0.04,12.9,0
430,30,587,28/5/2018,23.58,0,0.04,12.9,0
700,20,579,29/5/2018,23.58,0,0.04,12.9,0
495,10,587,13/4/2018,23.58,0,0.04,12.9,0
645,6,480,9/4/2018,23.58,0,0.04,12.9,0
590,36,431,26/4/2018,23.58,0,0.04,12.9,0
550,36,431,15/2/2018,23.58,0,0.04,12.9,0
475,4,592,8/8/2018,23.58,0,0.04,12.9,0
585,1,483,29/8/2018,23.58,0,0.04,12.9,0
380,28,431,6/3/2018,23.58,0,0.04,12.9,0
516,11,592,11/7/2018,23.58,0,0.04,12.9,0
338,10,431,30/4/2018,23.58,0,0.04,12.9,0
455,7,592,30/11/2018,23.58,0,0.04,12.9,0
455,26,483,26/6/2018,23.58,0,0.04,12.9,0
460,10,592,27/12/2018,23.58,0,0.04,12.9,0
310,1,484,30/5/2018,23.58,0,0.04,12.9,0
650,30,484,9/2/2018,23.58,0,0.04,12.9,0
349,19,431,26/4/2018,23.58,0,0.04,12.9,0
500,16,592,13/12/2018,23.58,0,0.04,12.9,0
600,4,592,18/4/2018,23.58,0,0.04,12.9,0
540,27,379,30/7/2018,37.25,0,1,10.4,0
488,23,374,8/2/2018,37.25,0,1,10.4,0
508,22,374,3/5/2018,37.25,0,1,10.4,0
488,22,379,1/2/2018,37.25,0,1,10.4,0
520,21,374,9/10/2018,37.25,0,1,10.4,0
535,21,379,1/8/2018,37.25,0,1,10.4,0
510,21,379,8/6/2018,37.25,0,1,10.4,0
517,17,374,6/8/2018,37.25,0,1,10.4,0
493,16,374,3/7/2018,37.25,0,1,10.4,0
415,2,379,11/6/2018,37.25,0,1,10.4,0
505,28,374,27/8/2018,37.42,0,1,10.4,0
508,26,379,20/4/2018,37.42,0,1,10.4,0
494,23,374,4/4/2018,37.58,0,1,10.4,0
512,15,379,19/6/2018,37.58,0,1,10.4,0
468,14,379,21/2/2018,37.58,0,1,10.4,0
508,11,379,27/8/2018,37.58,0,1,10.4,0
516,8,374,1/8/2018,37.58,0,1,10.4,0
443,1,374,20/7/2018,37.58,0,1,10.4,0
468,28,374,29/6/2018,37.75,0,1,10.4,0
511,5,379,23/7/2018,37.75,0,1,10.4,0
400,1,379,25/1/2018,37.75,0,1,10.4,0
803,18,473,26/4/2018,32.25,1,0.2,11.4,0
820,5,596,30/4/2018,32.25,1,0.2,11.4,0
835,16,471,23/5/2018,32.25,1,0.2,11.4,0
778,13,471,30/4/2018,32.25,1,0.2,11.4,0
724,5,471,1/8/2018,32.25,1,0.2,11.4,0
700,5,453,13/4/2018,32.25,1,0.2,11.4,0
838,18,453,11/7/2018,32.25,1,0.2,11.4,0
990,15,595,1/3/2018,32.25,1,0.2,11.4,0
665,5,471,16/1/2018,32.25,1,0.2,11.4,0
808,13,454,11/5/2018,32.25,1,0.2,11.4,0
820,8,454,29/5/2018,32.25,1,0.2,11.4,0
795,6,508,2/1/2018,32.25,1,0.2,11.4,0
722,5,475,17/4/2018,32.25,1,0.2,11.4,0
670,5,453,23/2/2018,32.25,1,0.2,11.4,0
764,13,471,16/1/2018,31.92,1,0.2,11.4,0
740,11,453,29/1/2018,31.92,1,0.2,11.4,0
860,16,454,22/8/2018,31.92,1,0.2,11.4,0
898,16,508,5/7/2018,31.92,1,0.2,11.4,0
835,10,454,5/9/2018,31.92,1,0.2,11.4,0
1583,19,890,7/3/2018,31.92,1,0.2,11.4,0
850,16,475,7/9/2018,31.92,1,0.2,11.4,0
780,11,475,28/3/2018,31.92,1,0.2,11.4,0
1170,15,596,13/8/2018,31.92,1,0.2,11.4,0
980,13,596,26/2/2018,31.92,1,0.2,11.4,0
993,13,596,29/6/2018,31.92,1,0.2,11.4,0
753,11,475,6/12/2018,31.92,1,0.2,11.4,0
820,7,596,22/6/2018,31.92,1,0.2,11.4,0
800,6,475,18/10/2018,31.92,1,0.2,11.4,0
658,5,475,12/9/2018,31.92,1,0.2,11.4,0
820,17,473,5/6/2018,31.92,1,0.2,11.4,0
783,17,473,30/4/2018,31.92,1,0.2,11.4,0
1500,19,890,23/2/2018,31.92,1,0.2,11.4,0
1450,19,837,29/6/2018,31.92,1,0.2,11.4,0
785,17,475,23/5/2018,31.92,1,0.2,11.4,0
708,6,453,2/5/2018,31.92,1,0.2,11.4,0
680,6,475,1/3/2018,31.92,1,0.2,11.4,0
798,17,508,10/4/2018,31.92,1,0.2,11.4,0
329,7,454,21/6/2018,31.92,1,0.2,11.4,0
707,5,454,22/2/2018,31.92,1,0.2,11.4,0
400,5,508,16/10/2018,31.92,1,0.2,11.4,0
750,17,475,4/6/2018,31.92,1,0.2,11.4,0
738,13,475,21/2/2018,31.92,1,0.2,11.4,0
1041,7,596,13/9/2018,31.92,1,0.2,11.4,0
950,11,547,17/4/2018,31,1,0.2,11.4,0
600,17,474,30/11/2018,31,1,0.2,11.4,0
1350,15,661,2/8/2018,29.92,1,0.2,11.4,0
1625,5,819,14/5/2018,29.92,1,0.2,11.4,0
968,4,600,22/2/2018,29.92,1,0.2,11.4,0
1660,15,819,13/2/2018,29.92,1,0.2,11.4,0
850,5,499,19/6/2018,30.5,1,0.2,11.4,0
792,15,499,1/3/2018,30.5,1,0.2,11.4,0
905,12,560,17/4/2018,30.5,1,0.2,11.4,0
350,11,499,3/1/2018,30.5,1,0.2,11.4,0
1050,9,614,5/7/2018,30.5,1,0.2,11.4,0
850,9,560,15/1/2018,30.5,1,0.2,11.4,0
758,2,499,20/3/2018,30.5,1,0.2,11.4,0
835,20,567,13/2/2018,30.5,1,0.2,11.4,0
770,9,499,12/12/2018,30.5,1,0.2,11.4,0
925,7,560,11/4/2018,30.5,1,0.2,11.4,0
800,3,499,2/5/2018,30.5,1,0.2,11.4,0
1000,19,870,10/1/2018,30.5,1,0.2,11.4,0
1450,19,870,13/2/2018,30.5,1,0.2,11.4,0
1368,12,643,10/9/2018,30.5,1,0.2,11.4,0
1080,11,643,15/2/2018,30.5,1,0.2,11.4,0
1288,8,643,29/3/2018,30.5,1,0.2,11.4,0
1268,5,722,11/4/2018,30.5,1,0.2,11.4,0
822,20,499,20/7/2018,30.5,1,0.2,11.4,0
923,15,560,20/3/2018,30.5,1,0.2,11.4,0
814,1,560,2/2/2018,30.5,1,0.2,11.4,0
1262,17,620,20/8/2018,30.75,1,0.2,11.4,0
944,17,560,24/5/2018,30.75,1,0.2,11.4,0
913,12,499,28/8/2018,30.75,1,0.2,11.4,0
880,17,498,3/8/2018,30.75,1,0.2,11.4,0
840,10,561,14/11/2018,30.75,1,0.2,11.4,0
375,9,499,22/3/2018,30.75,1,0.2,11.4,0
863,9,560,4/1/2018,30.75,1,0.2,11.4,0
750,17,499,10/5/2018,30.75,1,0.2,11.4,0
730,16,499,19/11/2018,30.75,1,0.2,11.4,0
824,12,499,6/3/2018,30.75,1,0.2,11.4,0
840,9,560,26/1/2018,30.75,1,0.2,11.4,0
890,3,560,1/6/2018,30.75,1,0.2,11.4,0
835,20,499,29/1/2018,30.75,1,0.2,11.4,0
963,15,560,2/8/2018,30.75,1,0.2,11.4,0
954,15,619,22/1/2018,30.75,1,0.2,11.4,0
800,6,560,29/3/2018,30.75,1,0.2,11.4,0
940,3,614,23/2/2018,30.75,1,0.2,11.4,0
1212,17,620,11/6/2018,30.75,1,0.2,11.4,0
1020,12,620,8/2/2018,30.75,1,0.2,11.4,0
1200,18,615,24/7/2018,30.25,1,0.2,11.4,0
810,17,499,13/2/2018,30.25,1,0.2,11.4,0
808,13,499,24/7/2018,30.25,1,0.2,11.4,0
868,5,499,28/6/2018,30.25,1,0.2,11.4,0
788,3,499,27/3/2018,30.25,1,0.2,11.4,0
830,18,499,18/1/2018,30.25,1,0.2,11.4,0
800,7,499,22/11/2018,30.25,1,0.2,11.4,0
980,1,614,10/7/2018,30.25,1,0.2,11.4,0
738,1,499,14/2/2018,30.25,1,0.2,11.4,0
1350,20,659,7/5/2018,29.75,1,0.2,11.4,0
1388,6,713,9/7/2018,29.75,1,0.2,11.4,0
1564,19,858,15/1/2018,29.75,1,0.2,11.4,0
896,12,547,4/6/2018,29.75,1,0.2,11.4,0
890,11,547,16/8/2018,29.75,1,0.2,11.4,0
996,2,645,7/9/2018,29.75,1,0.2,11.4,0
840,6,547,24/4/2018,29.75,1,0.2,11.4,0
835,2,547,9/3/2018,29.75,1,0.2,11.4,0
918,12,547,3/10/2018,29.5,1,0.2,11.4,0
1200,11,713,11/6/2018,29.5,1,0.2,11.4,0
1080,13,659,4/5/2018,29.5,1,0.2,11.4,0
1380,12,659,29/10/2018,29.5,1,0.2,11.4,0
1700,12,826,28/8/2018,29.5,1,0.2,11.4,0
1668,6,826,17/8/2018,29.5,1,0.2,11.4,0
1230,16,659,11/1/2018,29.5,1,0.2,11.4,0
1180,15,645,28/8/2018,29.5,1,0.2,11.4,0
600,16,713,20/8/2018,29.5,1,0.2,11.4,0
480,11,645,30/5/2018,29.5,1,0.2,11.4,0
850,20,547,12/4/2018,29.08,1,0.2,11.4,0
1634,15,826,4/5/2018,29.08,1,0.2,11.4,0
1200,15,659,11/4/2018,29.08,1,0.2,11.4,0
1200,5,659,4/6/2018,29.08,1,0.2,11.4,0
985,1,645,11/4/2018,29.08,1,0.2,11.4,0
850,1,547,13/7/2018,29.08,1,0.2,11.4,0
2638,15,1046,6/7/2018,28.75,1,0.2,11.4,0
1990,7,1046,22/2/2018,28.75,1,0.2,11.4,0
682,28,272,12/2/2018,1,1,0.55,9.1,0
1072,27,393,11/9/2018,1,1,0.55,9.1,0
944,25,391,30/1/2018,1,1,0.55,9.1,0
946,23,391,15/5/2018,1,1,0.55,9.1,0
829,18,393,8/6/2018,1,1,0.55,9.1,0
410,28,352,23/1/2018,50.58,0,0.12,9.4,0
430,27,352,19/4/2018,50.58,0,0.12,9.4,0
398,27,352,18/4/2018,50.58,0,0.12,9.4,0
462,25,352,13/4/2018,50.58,0,0.12,9.4,0
430,25,352,13/2/2018,50.58,0,0.12,9.4,0
448,24,352,5/3/2018,50.58,0,0.12,9.4,0
200,23,352,11/7/2018,50.58,0,0.12,9.4,0
422,23,352,12/2/2018,50.58,0,0.12,9.4,0
480,23,352,17/7/2018,50.58,0,0.12,9.4,0
200,23,274,29/10/2018,50.58,0,0.12,9.4,0
463,22,352,13/9/2018,50.58,0,0.12,9.4,0
445,22,352,26/9/2018,50.58,0,0.12,9.4,0
339,21,274,28/12/2018,50.58,0,0.12,9.4,0
475,19,352,22/8/2018,50.58,0,0.12,9.4,0
345,18,274,11/1/2018,50.58,0,0.12,9.4,0
200,17,352,3/9/2018,50.58,0,0.12,9.4,0
470,17,352,17/9/2018,50.58,0,0.12,9.4,0
420,17,352,30/1/2018,50.58,0,0.12,9.4,0
450,16,352,5/10/2018,50.58,0,0.12,9.4,0
400,16,352,27/3/2018,50.58,0,0.12,9.4,0
414,16,352,18/1/2018,50.58,0,0.12,9.4,0
430,14,352,19/4/2018,50.58,0,0.12,9.4,0
460,14,352,15/6/2018,50.58,0,0.12,9.4,0
410,14,352,3/7/2018,50.58,0,0.12,9.4,0
380,13,352,27/2/2018,50.58,0,0.12,9.4,0
480,13,352,18/7/2018,50.58,0,0.12,9.4,0
480,13,352,21/6/2018,50.58,0,0.12,9.4,0
500,13,352,23/7/2018,50.58,0,0.12,9.4,0
425,12,352,26/1/2018,50.58,0,0.12,9.4,0
440,12,352,26/6/2018,50.58,0,0.12,9.4,0
380,12,352,8/2/2018,50.58,0,0.12,9.4,0
435,11,352,16/7/2018,50.58,0,0.12,9.4,0
434,11,352,1/6/2018,50.58,0,0.12,9.4,0
448,11,352,20/7/2018,50.58,0,0.12,9.4,0
440,11,352,6/4/2018,50.58,0,0.12,9.4,0
433,10,352,26/6/2018,50.58,0,0.12,9.4,0
400,9,352,16/5/2018,50.58,0,0.12,9.4,0
405,8,352,31/1/2018,50.58,0,0.12,9.4,0
425,8,352,26/6/2018,50.58,0,0.12,9.4,0
440,7,352,24/7/2018,50.58,0,0.12,9.4,0
400,7,352,4/10/2018,50.58,0,0.12,9.4,0
422,5,352,26/4/2018,50.58,0,0.12,9.4,0
440,4,352,22/11/2018,50.58,0,0.12,9.4,0
344,4,274,26/4/2018,50.58,0,0.12,9.4,0
365,4,352,22/3/2018,50.58,0,0.12,9.4,0
370,2,352,1/3/2018,50.58,0,0.12,9.4,0
330,2,352,16/11/2018,50.58,0,0.12,9.4,0
335,2,274,2/8/2018,50.58,0,0.12,9.4,0
398,2,352,28/5/2018,50.58,0,0.12,9.4,0
1775,32,533,9/5/2018,1.75,1,0.15,8.7,0
1863,32,604,1/8/2018,1.75,1,0.15,8.7,0
550,28,209,5/7/2018,1.75,1,0.15,8.7,0
545,22,209,26/9/2018,1.75,1,0.15,8.7,0
545,16,210,18/9/2018,1.75,1,0.15,8.7,0
500,16,211,31/8/2018,1.75,1,0.15,8.7,0
496,11,209,7/12/2018,1.75,1,0.15,8.7,0
792,19,645,14/5/2018,23,0,0.5,10.8,0
450,10,546,8/5/2018,23,0,0.5,10.8,0
407,7,438,5/2/2018,23,0,0.5,10.8,0
593,35,598,10/5/2018,23,0,0.5,10.8,0
458,29,538,19/12/2018,23,0,0.5,10.8,0
476,25,541,4/1/2018,23,0,0.5,10.8,0
388,8,438,3/12/2018,23,0,0.5,10.8,0
398,7,546,28/12/2018,23,0,0.5,10.8,0
393,33,433,10/4/2018,23,0,0.5,10.8,0
550,33,598,17/5/2018,23,0,0.5,10.8,0
536,18,645,12/2/2018,23,0,0.5,10.8,0
450,6,546,8/8/2018,23,0,0.5,10.8,0
820,4,649,10/7/2018,23,0,0.5,10.8,0
362,3,438,19/4/2018,23,0,0.5,10.8,0
472,13,546,7/6/2018,23,0,0.5,10.8,0
408,11,438,23/2/2018,23,0,0.5,10.8,0
535,21,300,16/5/2018,33.08,0,0.35,5,0
511,18,260,31/7/2018,33.08,0,0.35,5,0
518,17,325,5/3/2018,33.08,0,0.35,5,0
576,16,325,17/8/2018,33.08,0,0.35,5,0
437,16,260,9/3/2018,33.08,0,0.35,5,0
509,14,300,12/4/2018,33.08,0,0.35,5,0
400,8,285,22/3/2018,33.08,0,0.35,5,0
510,4,285,3/8/2018,33.08,0,0.35,5,0
460,4,260,3/7/2018,33.08,0,0.35,5,0
490,1,300,3/5/2018,33.08,0,0.35,5,0
495,22,300,26/2/2018,33.08,0,0.35,5,0
505,21,300,4/6/2018,33.08,0,0.35,5,0
575,11,325,9/7/2018,33.08,0,0.35,5,0
505,7,295,16/4/2018,33.08,0,0.35,5,0
525,4,325,20/6/2018,33.08,0,0.35,5,0
545,24,307,10/7/2018,36,0,0.24,9.9,0
516,20,304,11/5/2018,36,0,0.24,9.9,0
467,5,304,15/1/2018,36,0,0.24,9.9,0
475,23,307,27/6/2018,36,0,0.24,9.9,0
530,17,304,4/7/2018,36,0,0.24,9.9,0
508,16,307,4/5/2018,36,0,0.24,9.9,0
517,15,288,24/7/2018,36,0,0.24,9.9,0
135,7,304,29/6/2018,36,0,0.24,9.9,0
449,6,307,21/12/2018,36,0,0.24,9.9,0
478,5,307,29/1/2018,36,0,0.24,9.9,0
488,4,288,28/6/2018,36,0,0.24,9.9,0
509,24,294,9/2/2018,36,0,0.24,9.9,0
490,23,304,20/11/2018,36,0,0.24,9.9,0
508,23,294,3/5/2018,36,0,0.24,9.9,0
510,20,306,15/3/2018,36,0,0.24,9.9,0
450,17,294,5/2/2018,36,0,0.24,9.9,0
486,16,304,20/2/2018,36,0,0.24,9.9,0
510,15,306,26/4/2018,36,0,0.24,9.9,0
499,14,306,24/10/2018,36,0,0.24,9.9,0
470,14,304,5/6/2018,36,0,0.24,9.9,0
400,12,306,31/1/2018,36,0,0.24,9.9,0
493,11,294,19/4/2018,36,0,0.24,9.9,0
150,22,344,24/1/2018,26.67,1,0.35,9.1,0
600,21,344,3/9/2018,26.67,1,0.35,9.1,0
